SalesDate,Sales
2013-01-31,200713
2013-02-28,187813
2013-03-31,223469
2013-04-30,207119
2013-05-31,215819
2013-06-30,210106
2013-07-31,243886
2013-08-31,240815
2013-09-30,214174
2013-10-31,226833
2013-11-30,230576
2013-12-31,283292
2014-01-31,233745
2014-02-28,222083
2014-03-31,240326
2014-04-30,235697
2014-05-31,247277
2014-06-30,241117
2014-07-31,0
2014-08-31,0
2014-09-30,0
2014-10-31,0
2014-11-30,0
2014-12-31,0
2015-01-31,262968
2015-02-28,223814
2015-03-31,264914
2015-04-30,262963
2015-05-31,263530
2015-06-30,279308
2015-07-31,282511
