SalesDate,Sales
2013-01-31,51324
2013-02-28,46508
2013-03-31,48409
2013-04-30,37394
2013-05-31,104398
2013-06-30,99765
2013-07-31,113540
2013-08-31,102274
2013-09-30,95355
2013-10-31,97930
2013-11-30,108621
2013-12-31,126570
2014-01-31,107427
2014-02-28,109294
2014-03-31,113097
2014-04-30,114205
2014-05-31,122067
2014-06-30,114152
2014-07-31,128078
2014-08-31,110598
2014-09-30,113666
2014-10-31,119505
2014-11-30,128839
2014-12-31,144000
2015-01-31,125401
2015-02-28,116492
2015-03-31,133102
2015-04-30,124207
2015-05-31,121983
2015-06-30,130799
2015-07-31,139791
