SalesDate,Sales
2013-01-31,227963
2013-02-28,208152
2013-03-31,249227
2013-04-30,229099
2013-05-31,238332
2013-06-30,221499
2013-07-31,263116
2013-08-31,246000
2013-09-30,225219
2013-10-31,231417
2013-11-30,255770
2013-12-31,301404
2014-01-31,246372
2014-02-28,231345
2014-03-31,249258
2014-04-30,258375
2014-05-31,258429
2014-06-30,258572
2014-07-31,274071
2014-08-31,248392
2014-09-30,263839
2014-10-31,255517
2014-11-30,280486
2014-12-31,322243
2015-01-31,276833
2015-02-28,238065
2015-03-31,280182
2015-04-30,251343
2015-05-31,236614
2015-06-30,269212
2015-07-31,273796
