SalesDate,Sales
2013-01-31,188217
2013-02-28,191773
2013-03-31,237120
2013-04-30,202479
2013-05-31,203197
2013-06-30,191609
2013-07-31,230147
2013-08-31,220451
2013-09-30,187686
2013-10-31,200004
2013-11-30,223978
2013-12-31,288201
2014-01-31,208591
2014-02-28,195962
2014-03-31,209119
2014-04-30,215845
2014-05-31,216318
2014-06-30,204286
2014-07-31,231500
2014-08-31,212665
2014-09-30,214663
2014-10-31,217445
2014-11-30,227521
2014-12-31,286068
2015-01-31,217088
2015-02-28,192785
2015-03-31,229769
2015-04-30,214818
2015-05-31,201850
2015-06-30,212325
2015-07-31,224931
