SalesDate,Sales
2013-01-31,154663
2013-02-28,145048
2013-03-31,161533
2013-04-30,154058
2013-05-31,147681
2013-06-30,147162
2013-07-31,163322
2013-08-31,147615
2013-09-30,139423
2013-10-31,154620
2013-11-30,155676
2013-12-31,148247
2014-01-31,138693
2014-02-28,130742
2014-03-31,143917
2014-04-30,139829
2014-05-31,140061
2014-06-30,134416
2014-07-31,0
2014-08-31,0
2014-09-30,0
2014-10-31,0
2014-11-30,0
2014-12-31,0
2015-01-31,147708
2015-02-28,130367
2015-03-31,154979
2015-04-30,144271
2015-05-31,136675
2015-06-30,151383
2015-07-31,152917
