SalesDate,Sales
2013-01-31,179629
2013-02-28,166166
2013-03-31,200288
2013-04-30,182222
2013-05-31,188655
2013-06-30,179076
2013-07-31,209304
2013-08-31,203264
2013-09-30,183821
2013-10-31,186885
2013-11-30,200764
2013-12-31,239842
2014-01-31,198930
2014-02-28,188326
2014-03-31,200697
2014-04-30,207154
2014-05-31,208602
2014-06-30,209739
2014-07-31,224966
2014-08-31,207302
2014-09-30,212907
2014-10-31,196358
2014-11-30,212130
2014-12-31,242915
2015-01-31,210675
2015-02-28,186836
2015-03-31,212828
2015-04-30,202739
2015-05-31,195466
2015-06-30,221082
2015-07-31,225890
