SalesDate,Sales
2013-01-31,123614
2013-02-28,107830
2013-03-31,134375
2013-04-30,128369
2013-05-31,136444
2013-06-30,132754
2013-07-31,152993
2013-08-31,159556
2013-09-30,135300
2013-10-31,143825
2013-11-30,143501
2013-12-31,162942
2014-01-31,144136
2014-02-28,132112
2014-03-31,141176
2014-04-30,144268
2014-05-31,150461
2014-06-30,140604
2014-07-31,0
2014-08-31,0
2014-09-30,0
2014-10-31,0
2014-11-30,0
2014-12-31,0
2015-01-31,149772
2015-02-28,137534
2015-03-31,154358
2015-04-30,148548
2015-05-31,152424
2015-06-30,147393
2015-07-31,173760
