SalesDate,Sales
2013-01-31,95762
2013-02-28,92961
2013-03-31,109238
2013-04-30,99703
2013-05-31,97339
2013-06-30,91711
2013-07-31,110523
2013-08-31,104754
2013-09-30,91432
2013-10-31,101656
2013-11-30,104951
2013-12-31,130891
2014-01-31,105225
2014-02-28,99652
2014-03-31,108502
2014-04-30,108816
2014-05-31,109748
2014-06-30,103623
2014-07-31,112506
2014-08-31,105965
2014-09-30,106153
2014-10-31,104560
2014-11-30,109593
2014-12-31,127562
2015-01-31,105267
2015-02-28,95530
2015-03-31,111889
2015-04-30,109908
2015-05-31,100548
2015-06-30,109248
2015-07-31,108934
