SalesDate,Sales
2013-01-31,213909
2013-02-28,204911
2013-03-31,241272
2013-04-30,213664
2013-05-31,215566
2013-06-30,210048
2013-07-31,248025
2013-08-31,235424
2013-09-30,205144
2013-10-31,208943
2013-11-30,219649
2013-12-31,276911
2014-01-31,215032
2014-02-28,201577
2014-03-31,220051
2014-04-30,217433
2014-05-31,214977
2014-06-30,217840
2014-07-31,235677
2014-08-31,210050
2014-09-30,208626
2014-10-31,205681
2014-11-30,220193
2014-12-31,266824
2015-01-31,213915
2015-02-28,181374
2015-03-31,217244
2015-04-30,203474
2015-05-31,188225
2015-06-30,220031
2015-07-31,231539
