SalesDate,Sales
2013-01-31,174410
2013-02-28,171776
2013-03-31,184377
2013-04-30,177506
2013-05-31,179631
2013-06-30,170052
2013-07-31,195491
2013-08-31,190368
2013-09-30,170407
2013-10-31,180543
2013-11-30,205890
2013-12-31,229051
2014-01-31,195285
2014-02-28,185938
2014-03-31,198498
2014-04-30,202426
2014-05-31,204424
2014-06-30,196976
2014-07-31,210357
2014-08-31,201037
2014-09-30,204026
2014-10-31,204427
2014-11-30,230370
2014-12-31,246596
2015-01-31,228423
2015-02-28,202806
2015-03-31,222844
2015-04-30,215265
2015-05-31,213030
2015-06-30,227243
2015-07-31,226574
