SalesDate,Sales
2013-01-31,198054
2013-02-28,186728
2013-03-31,205512
2013-04-30,190738
2013-05-31,200673
2013-06-30,196477
2013-07-31,227754
2013-08-31,209102
2013-09-30,193383
2013-10-31,200620
2013-11-30,209186
2013-12-31,261835
2014-01-31,211844
2014-02-28,198307
2014-03-31,195150
2014-04-30,194915
2014-05-31,200591
2014-06-30,190607
2014-07-31,0
2014-08-31,0
2014-09-30,0
2014-10-31,0
2014-11-30,0
2014-12-31,0
2015-01-31,194343
2015-02-28,170664
2015-03-31,186050
2015-04-30,182029
2015-05-31,173325
2015-06-30,181753
2015-07-31,193961
