SalesDate,Sales
2013-01-31,125758
2013-02-28,122689
2013-03-31,156191
2013-04-30,140181
2013-05-31,147558
2013-06-30,139664
2013-07-31,182120
2013-08-31,161785
2013-09-30,152115
2013-10-31,160030
2013-11-30,159882
2013-12-31,190268
2014-01-31,166336
2014-02-28,157379
2014-03-31,176740
2014-04-30,170357
2014-05-31,174688
2014-06-30,163598
2014-07-31,193875
2014-08-31,173663
2014-09-30,186192
2014-10-31,181432
2014-11-30,185613
2014-12-31,207314
2015-01-31,197939
2015-02-28,164098
2015-03-31,201623
2015-04-30,178379
2015-05-31,175964
2015-06-30,184064
2015-07-31,212383
