SalesDate,Sales
2013-01-31,213266
2013-02-28,201974
2013-03-31,244310
2013-04-30,209867
2013-05-31,215996
2013-06-30,206499
2013-07-31,258098
2013-08-31,231194
2013-09-30,207636
2013-10-31,209821
2013-11-30,235219
2013-12-31,301816
2014-01-31,214886
2014-02-28,208541
2014-03-31,227894
2014-04-30,222182
2014-05-31,222282
2014-06-30,222883
2014-07-31,236580
2014-08-31,217882
2014-09-30,240223
2014-10-31,222024
2014-11-30,242172
2014-12-31,307136
2015-01-31,233037
2015-02-28,206282
2015-03-31,245460
2015-04-30,229498
2015-05-31,212163
2015-06-30,247851
2015-07-31,253548
