SalesDate,Sales
2013-01-31,64822
2013-02-28,69402
2013-03-31,87228
2013-04-30,85910
2013-05-31,82731
2013-06-30,82254
2013-07-31,85835
2013-08-31,121593
2013-09-30,100486
2013-10-31,131137
2013-11-30,94667
2013-12-31,104918
2014-01-31,78908
2014-02-28,73795
2014-03-31,76550
2014-04-30,77431
2014-05-31,75992
2014-06-30,72382
2014-07-31,86541
2014-08-31,89534
2014-09-30,78574
2014-10-31,84322
2014-11-30,90225
2014-12-31,117967
2015-01-31,100090
2015-02-28,82780
2015-03-31,86673
2015-04-30,82160
2015-05-31,81950
2015-06-30,81542
2015-07-31,89112
