SalesDate,Sales
2013-01-31,98844
2013-02-28,93286
2013-03-31,107880
2013-04-30,100161
2013-05-31,101298
2013-06-30,97385
2013-07-31,118957
2013-08-31,123223
2013-09-30,96339
2013-10-31,100146
2013-11-30,114986
2013-12-31,136492
2014-01-31,105468
2014-02-28,98208
2014-03-31,101803
2014-04-30,107657
2014-05-31,106362
2014-06-30,104704
2014-07-31,115242
2014-08-31,114670
2014-09-30,110137
2014-10-31,106951
2014-11-30,114016
2014-12-31,140738
2015-01-31,109658
2015-02-28,98295
2015-03-31,112294
2015-04-30,109882
2015-05-31,101845
2015-06-30,114286
2015-07-31,124069
