SalesDate,Sales
2013-01-31,140868
2013-02-28,136190
2013-03-31,164078
2013-04-30,136664
2013-05-31,144099
2013-06-30,140729
2013-07-31,161909
2013-08-31,171629
2013-09-30,137223
2013-10-31,143345
2013-11-30,167140
2013-12-31,187303
2014-01-31,149295
2014-02-28,135806
2014-03-31,150483
2014-04-30,156105
2014-05-31,152598
2014-06-30,146640
2014-07-31,164843
2014-08-31,170682
2014-09-30,154502
2014-10-31,153010
2014-11-30,166470
2014-12-31,196143
2015-01-31,149617
2015-02-28,136285
2015-03-31,158300
2015-04-30,153128
2015-05-31,145645
2015-06-30,160991
2015-07-31,170477
