SalesDate,Sales
2013-01-31,118503
2013-02-28,108038
2013-03-31,127929
2013-04-30,119486
2013-05-31,120927
2013-06-30,115394
2013-07-31,136104
2013-08-31,117079
2013-09-30,106057
2013-10-31,118799
2013-11-30,116162
2013-12-31,129183
2014-01-31,120857
2014-02-28,110277
2014-03-31,125794
2014-04-30,120385
2014-05-31,121404
2014-06-30,127054
2014-07-31,131489
2014-08-31,118372
2014-09-30,120971
2014-10-31,123589
2014-11-30,126161
2014-12-31,133222
2015-01-31,130566
2015-02-28,113506
2015-03-31,129341
2015-04-30,119036
2015-05-31,104641
2015-06-30,133196
2015-07-31,129842
