SalesDate,Sales
2013-01-31,152265
2013-02-28,139655
2013-03-31,162550
2013-04-30,154269
2013-05-31,157972
2013-06-30,155385
2013-07-31,174135
2013-08-31,159836
2013-09-30,151382
2013-10-31,155627
2013-11-30,170431
2013-12-31,173192
2014-01-31,123751
2014-02-28,118179
2014-03-31,131873
2014-04-30,133723
2014-05-31,128694
2014-06-30,124986
2014-07-31,134981
2014-08-31,118651
2014-09-30,127896
2014-10-31,123609
2014-11-30,135491
2014-12-31,151913
2015-01-31,124836
2015-02-28,108714
2015-03-31,123638
2015-04-30,120628
2015-05-31,113348
2015-06-30,125511
2015-07-31,120637
