SalesDate,Sales
2013-01-31,106067
2013-02-28,101622
2013-03-31,112824
2013-04-30,103608
2013-05-31,107045
2013-06-30,104043
2013-07-31,121456
2013-08-31,113873
2013-09-30,105199
2013-10-31,109948
2013-11-30,115508
2013-12-31,139350
2014-01-31,108934
2014-02-28,102426
2014-03-31,109143
2014-04-30,108739
2014-05-31,112713
2014-06-30,105756
2014-07-31,0
2014-08-31,0
2014-09-30,0
2014-10-31,0
2014-11-30,0
2014-12-31,0
2015-01-31,117068
2015-02-28,99936
2015-03-31,118192
2015-04-30,111696
2015-05-31,109225
2015-06-30,126742
2015-07-31,130393
