SalesDate,Sales
2013-01-31,140150
2013-02-28,135739
2013-03-31,152813
2013-04-30,144599
2013-05-31,138984
2013-06-30,128582
2013-07-31,165963
2013-08-31,149544
2013-09-30,137176
2013-10-31,142663
2013-11-30,148742
2013-12-31,166511
2014-01-31,143735
2014-02-28,135020
2014-03-31,150088
2014-04-30,152672
2014-05-31,145727
2014-06-30,144377
2014-07-31,165276
2014-08-31,140283
2014-09-30,149120
2014-10-31,149685
2014-11-30,153078
2014-12-31,164082
2015-01-31,148788
2015-02-28,129366
2015-03-31,152196
2015-04-30,156146
2015-05-31,138181
2015-06-30,157976
2015-07-31,161448
