SalesDate,Sales
2013-01-31,566482
2013-02-28,549174
2013-03-31,673085
2013-04-30,610222
2013-05-31,711428
2013-06-30,630094
2013-07-31,615851
2013-08-31,628556
2013-09-30,600554
2013-10-31,624051
2013-11-30,598850
2013-12-31,756285
2014-01-31,580046
2014-02-28,553094
2014-03-31,605661
2014-04-30,655468
2014-05-31,688993
2014-06-30,656008
2014-07-31,610550
2014-08-31,636065
2014-09-30,570922
2014-10-31,614107
2014-11-30,617180
2014-12-31,751615
2015-01-31,580798
2015-02-28,554704
2015-03-31,614812
2015-04-30,667510
2015-05-31,710640
2015-06-30,610404
2015-07-31,673633
