SalesDate,Sales
2013-01-31,188210
2013-02-28,174880
2013-03-31,216549
2013-04-30,192904
2013-05-31,201281
2013-06-30,201847
2013-07-31,233460
2013-08-31,247346
2013-09-30,200792
2013-10-31,197166
2013-11-30,228794
2013-12-31,275056
2014-01-31,200985
2014-02-28,188855
2014-03-31,205736
2014-04-30,214108
2014-05-31,218354
2014-06-30,217615
2014-07-31,237117
2014-08-31,244275
2014-09-30,222302
2014-10-31,212972
2014-11-30,238593
2014-12-31,294678
2015-01-31,215822
2015-02-28,194489
2015-03-31,220500
2015-04-30,225868
2015-05-31,209829
2015-06-30,225893
2015-07-31,246956
