SalesDate,Sales
2013-01-31,145891
2013-02-28,139704
2013-03-31,198793
2013-04-30,185375
2013-05-31,239581
2013-06-30,236246
2013-07-31,370137
2013-08-31,314182
2013-09-30,218351
2013-10-31,215856
2013-11-30,177546
2013-12-31,205311
2014-01-31,149204
2014-02-28,145229
2014-03-31,167883
2014-04-30,228862
2014-05-31,226376
2014-06-30,249590
2014-07-31,327055
2014-08-31,345083
2014-09-30,236223
2014-10-31,219572
2014-11-30,184428
2014-12-31,213916
2015-01-31,155535
2015-02-28,145132
2015-03-31,188416
2015-04-30,218551
2015-05-31,244488
2015-06-30,257146
2015-07-31,347159
