SalesDate,Sales
2013-01-31,168972
2013-02-28,166013
2013-03-31,195141
2013-04-30,181855
2013-05-31,176576
2013-06-30,185260
2013-07-31,208165
2013-08-31,191903
2013-09-30,184126
2013-10-31,188216
2013-11-30,191020
2013-12-31,227523
2014-01-31,199749
2014-02-28,194166
2014-03-31,215165
2014-04-30,207001
2014-05-31,208491
2014-06-30,216320
2014-07-31,222220
2014-08-31,213049
2014-09-30,222582
2014-10-31,214582
2014-11-30,226163
2014-12-31,259313
2015-01-31,231729
2015-02-28,216390
2015-03-31,250733
2015-04-30,217377
2015-05-31,209396
2015-06-30,241921
2015-07-31,231209
