SalesDate,Sales
2013-01-31,204140
2013-02-28,194361
2013-03-31,234224
2013-04-30,210459
2013-05-31,208008
2013-06-30,207766
2013-07-31,242718
2013-08-31,226046
2013-09-30,206617
2013-10-31,222994
2013-11-30,232622
2013-12-31,272482
2014-01-31,215994
2014-02-28,204799
2014-03-31,221209
2014-04-30,232092
2014-05-31,229716
2014-06-30,221389
2014-07-31,234278
2014-08-31,231146
2014-09-30,222230
2014-10-31,234802
2014-11-30,237467
2014-12-31,287934
2015-01-31,235463
2015-02-28,212530
2015-03-31,240046
2015-04-30,231251
2015-05-31,221214
2015-06-30,240607
2015-07-31,239697
