SalesDate,Sales
2013-01-31,187172
2013-02-28,186600
2013-03-31,221888
2013-04-30,199811
2013-05-31,198941
2013-06-30,192636
2013-07-31,219843
2013-08-31,217874
2013-09-30,210087
2013-10-31,215737
2013-11-30,219546
2013-12-31,251734
2014-01-31,190882
2014-02-28,180522
2014-03-31,200371
2014-04-30,202596
2014-05-31,202572
2014-06-30,189099
2014-07-31,214592
2014-08-31,198482
2014-09-30,203862
2014-10-31,209234
2014-11-30,222162
2014-12-31,279102
2015-01-31,213986
2015-02-28,191253
2015-03-31,230100
2015-04-30,215985
2015-05-31,200812
2015-06-30,217650
2015-07-31,231769
