SalesDate,Sales
2013-01-31,104645
2013-02-28,98822
2013-03-31,114779
2013-04-30,107718
2013-05-31,107178
2013-06-30,100153
2013-07-31,126104
2013-08-31,121438
2013-09-30,106988
2013-10-31,113614
2013-11-30,113799
2013-12-31,140525
2014-01-31,120662
2014-02-28,117371
2014-03-31,121741
2014-04-30,127053
2014-05-31,123169
2014-06-30,120484
2014-07-31,131820
2014-08-31,118345
2014-09-30,119693
2014-10-31,122796
2014-11-30,125183
2014-12-31,139292
2015-01-31,123166
2015-02-28,110667
2015-03-31,127828
2015-04-30,163654
2015-05-31,161196
2015-06-30,120952
2015-07-31,129318
