SalesDate,Sales
2013-01-31,167099
2013-02-28,158214
2013-03-31,201341
2013-04-30,168417
2013-05-31,174316
2013-06-30,161828
2013-07-31,199535
2013-08-31,189019
2013-09-30,173275
2013-10-31,178569
2013-11-30,210514
2013-12-31,241304
2014-01-31,188489
2014-02-28,182594
2014-03-31,199386
2014-04-30,205325
2014-05-31,200169
2014-06-30,197416
2014-07-31,219018
2014-08-31,197641
2014-09-30,200124
2014-10-31,197923
2014-11-30,220885
2014-12-31,275470
2015-01-31,223606
2015-02-28,194496
2015-03-31,234411
2015-04-30,214553
2015-05-31,209515
2015-06-30,240343
2015-07-31,241013
