SalesDate,Sales
2013-01-31,166027
2013-02-28,159604
2013-03-31,194206
2013-04-30,165962
2013-05-31,172402
2013-06-30,163274
2013-07-31,194496
2013-08-31,184539
2013-09-30,162703
2013-10-31,166232
2013-11-30,184871
2013-12-31,224393
2014-01-31,174101
2014-02-28,163611
2014-03-31,172426
2014-04-30,182994
2014-05-31,176378
2014-06-30,177097
2014-07-31,184511
2014-08-31,167946
2014-09-30,175317
2014-10-31,166170
2014-11-30,184198
2014-12-31,222264
2015-01-31,185741
2015-02-28,159490
2015-03-31,180359
2015-04-30,178837
2015-05-31,165443
2015-06-30,182080
2015-07-31,195365
