SalesDate,Sales
2013-01-31,126994
2013-02-28,124748
2013-03-31,139977
2013-04-30,132630
2013-05-31,135349
2013-06-30,133451
2013-07-31,160901
2013-08-31,149869
2013-09-30,138226
2013-10-31,144610
2013-11-30,152730
2013-12-31,169250
2014-01-31,152471
2014-02-28,146123
2014-03-31,156430
2014-04-30,153004
2014-05-31,161390
2014-06-30,156298
2014-07-31,167974
2014-08-31,154699
2014-09-30,151312
2014-10-31,159925
2014-11-30,175911
2014-12-31,179638
2015-01-31,167939
2015-02-28,152933
2015-03-31,169396
2015-04-30,161327
2015-05-31,157980
2015-06-30,174130
2015-07-31,164742
