SalesDate,Sales
2013-01-31,155035
2013-02-28,137382
2013-03-31,164886
2013-04-30,148499
2013-05-31,147624
2013-06-30,138457
2013-07-31,171429
2013-08-31,156350
2013-09-30,142046
2013-10-31,147520
2013-11-30,165192
2013-12-31,200584
2014-01-31,151592
2014-02-28,148513
2014-03-31,149994
2014-04-30,156946
2014-05-31,148163
2014-06-30,153973
2014-07-31,164618
2014-08-31,148472
2014-09-30,156667
2014-10-31,151325
2014-11-30,165806
2014-12-31,206198
2015-01-31,158250
2015-02-28,141475
2015-03-31,161786
2015-04-30,157575
2015-05-31,145449
2015-06-30,166264
2015-07-31,167250
