SalesDate,Sales
2013-01-31,188837
2013-02-28,184160
2013-03-31,216434
2013-04-30,200020
2013-05-31,206449
2013-06-30,201920
2013-07-31,227754
2013-08-31,224235
2013-09-30,190481
2013-10-31,200980
2013-11-30,204868
2013-12-31,246579
2014-01-31,195280
2014-02-28,193722
2014-03-31,210285
2014-04-30,208644
2014-05-31,203310
2014-06-30,207220
2014-07-31,216656
2014-08-31,216755
2014-09-30,214368
2014-10-31,210337
2014-11-30,224415
2014-12-31,247027
2015-01-31,206036
2015-02-28,189056
2015-03-31,227835
2015-04-30,249209
2015-05-31,223890
2015-06-30,258527
2015-07-31,253900
