SalesDate,Sales
2013-01-31,171074
2013-02-28,162021
2013-03-31,187025
2013-04-30,177749
2013-05-31,172990
2013-06-30,167441
2013-07-31,207535
2013-08-31,187723
2013-09-30,169813
2013-10-31,180303
2013-11-30,182374
2013-12-31,236892
2014-01-31,178438
2014-02-28,175363
2014-03-31,188108
2014-04-30,192046
2014-05-31,186658
2014-06-30,180683
2014-07-31,204457
2014-08-31,185762
2014-09-30,183823
2014-10-31,188780
2014-11-30,191972
2014-12-31,239528
2015-01-31,188736
2015-02-28,173838
2015-03-31,200321
2015-04-30,190334
2015-05-31,177939
2015-06-30,195205
2015-07-31,215893
