SalesDate,Sales
2013-01-31,153242
2013-02-28,141458
2013-03-31,197855
2013-04-30,161096
2013-05-31,164170
2013-06-30,156456
2013-07-31,197119
2013-08-31,191091
2013-09-30,164704
2013-10-31,173714
2013-11-30,197548
2013-12-31,275117
2014-01-31,168841
2014-02-28,168391
2014-03-31,181359
2014-04-30,192536
2014-05-31,182802
2014-06-30,171198
2014-07-31,190165
2014-08-31,193991
2014-09-30,173723
2014-10-31,175372
2014-11-30,205588
2014-12-31,280160
2015-01-31,184589
2015-02-28,164174
2015-03-31,199093
2015-04-30,178182
2015-05-31,179243
2015-06-30,185134
2015-07-31,197929
