SalesDate,Sales
2013-01-31,162930
2013-02-28,161380
2013-03-31,187281
2013-04-30,170042
2013-05-31,174505
2013-06-30,173164
2013-07-31,193580
2013-08-31,187129
2013-09-30,171406
2013-10-31,178052
2013-11-30,184269
2013-12-31,208506
2014-01-31,193963
2014-02-28,196175
2014-03-31,197170
2014-04-30,188324
2014-05-31,190505
2014-06-30,179700
2014-07-31,182491
2014-08-31,182540
2014-09-30,181557
2014-10-31,188421
2014-11-30,199710
2014-12-31,222874
2015-01-31,205302
2015-02-28,192310
2015-03-31,215347
2015-04-30,198502
2015-05-31,200133
2015-06-30,216189
2015-07-31,210912
