SalesDate,Sales
2013-01-31,125627
2013-02-28,124135
2013-03-31,146643
2013-04-30,125240
2013-05-31,125221
2013-06-30,125229
2013-07-31,130442
2013-08-31,125732
2013-09-30,113197
2013-10-31,120464
2013-11-30,140777
2013-12-31,176511
2014-01-31,128168
2014-02-28,120964
2014-03-31,124303
2014-04-30,130310
2014-05-31,124732
2014-06-30,119812
2014-07-31,134057
2014-08-31,126694
2014-09-30,115077
2014-10-31,130300
2014-11-30,144331
2014-12-31,185721
2015-01-31,133404
2015-02-28,122295
2015-03-31,128963
2015-04-30,132520
2015-05-31,124773
2015-06-30,128434
2015-07-31,146884
