SalesDate,Sales
2013-01-31,136971
2013-02-28,128109
2013-03-31,150176
2013-04-30,141026
2013-05-31,141218
2013-06-30,134976
2013-07-31,154842
2013-08-31,146799
2013-09-30,127210
2013-10-31,138546
2013-11-30,145405
2013-12-31,175309
2014-01-31,141553
2014-02-28,135006
2014-03-31,143401
2014-04-30,149951
2014-05-31,150305
2014-06-30,144041
2014-07-31,128635
2014-08-31,111756
2014-09-30,114021
2014-10-31,112782
2014-11-30,121340
2014-12-31,147572
2015-01-31,122255
2015-02-28,106053
2015-03-31,122452
2015-04-30,121778
2015-05-31,113191
2015-06-30,122078
2015-07-31,129103
