SalesDate,Sales
2013-01-31,106288
2013-02-28,98018
2013-03-31,117612
2013-04-30,116160
2013-05-31,118124
2013-06-30,113359
2013-07-31,127579
2013-08-31,112538
2013-09-30,116262
2013-10-31,119264
2013-11-30,126960
2013-12-31,157215
2014-01-31,111177
2014-02-28,104330
2014-03-31,119871
2014-04-30,118541
2014-05-31,116979
2014-06-30,119892
2014-07-31,122216
2014-08-31,110557
2014-09-30,124298
2014-10-31,120556
2014-11-30,138766
2014-12-31,164815
2015-01-31,114889
2015-02-28,106253
2015-03-31,128406
2015-04-30,120403
2015-05-31,114750
2015-06-30,130006
2015-07-31,122983
