SalesDate,Sales
2013-01-31,129984
2013-02-28,112884
2013-03-31,141865
2013-04-30,127896
2013-05-31,122331
2013-06-30,122195
2013-07-31,149023
2013-08-31,125967
2013-09-30,127918
2013-10-31,130910
2013-11-30,130061
2013-12-31,157263
2014-01-31,133884
2014-02-28,128952
2014-03-31,139395
2014-04-30,137728
2014-05-31,138707
2014-06-30,134677
2014-07-31,151182
2014-08-31,136975
2014-09-30,140565
2014-10-31,130963
2014-11-30,146608
2014-12-31,164143
2015-01-31,138108
2015-02-28,125724
2015-03-31,155446
2015-04-30,140701
2015-05-31,131392
2015-06-30,148215
2015-07-31,158101
