SalesDate,Sales
2013-01-31,189598
2013-02-28,172832
2013-03-31,202993
2013-04-30,187526
2013-05-31,178659
2013-06-30,177122
2013-07-31,215939
2013-08-31,181244
2013-09-30,172922
2013-10-31,186894
2013-11-30,190748
2013-12-31,221048
2014-01-31,195339
2014-02-28,184805
2014-03-31,196976
2014-04-30,195204
2014-05-31,196678
2014-06-30,186723
2014-07-31,214076
2014-08-31,182904
2014-09-30,188431
2014-10-31,198418
2014-11-30,206460
2014-12-31,231253
2015-01-31,199486
2015-02-28,182394
2015-03-31,215765
2015-04-30,203950
2015-05-31,191353
2015-06-30,207172
2015-07-31,228167
