SalesDate,Sales
2013-01-31,127016
2013-02-28,126826
2013-03-31,143583
2013-04-30,136194
2013-05-31,136540
2013-06-30,134549
2013-07-31,164486
2013-08-31,150647
2013-09-30,141926
2013-10-31,150510
2013-11-30,151174
2013-12-31,174563
2014-01-31,161650
2014-02-28,157066
2014-03-31,166267
2014-04-30,156664
2014-05-31,163180
2014-06-30,165527
2014-07-31,175525
2014-08-31,172280
2014-09-30,172952
2014-10-31,175546
2014-11-30,183178
2014-12-31,204660
2015-01-31,185765
2015-02-28,174485
2015-03-31,196862
2015-04-30,185332
2015-05-31,179714
2015-06-30,202819
2015-07-31,194575
