SalesDate,Sales
2013-01-31,162954
2013-02-28,155021
2013-03-31,180176
2013-04-30,161671
2013-05-31,170236
2013-06-30,161752
2013-07-31,190339
2013-08-31,172620
2013-09-30,156546
2013-10-31,162293
2013-11-30,167654
2013-12-31,210432
2014-01-31,165629
2014-02-28,162163
2014-03-31,165809
2014-04-30,174690
2014-05-31,175356
2014-06-30,179281
2014-07-31,191306
2014-08-31,173400
2014-09-30,186006
2014-10-31,179739
2014-11-30,189416
2014-12-31,233357
2015-01-31,204634
2015-02-28,182745
2015-03-31,206409
2015-04-30,192030
2015-05-31,180096
2015-06-30,213942
2015-07-31,200604
