SalesDate,Sales
2013-01-31,163030
2013-02-28,160405
2013-03-31,183719
2013-04-30,163933
2013-05-31,168812
2013-06-30,168940
2013-07-31,187620
2013-08-31,190885
2013-09-30,151731
2013-10-31,150375
2013-11-30,180946
2013-12-31,200367
2014-01-31,153053
2014-02-28,147729
2014-03-31,159367
2014-04-30,165110
2014-05-31,164362
2014-06-30,157361
2014-07-31,169001
2014-08-31,174756
2014-09-30,162867
2014-10-31,159735
2014-11-30,179467
2014-12-31,215902
2015-01-31,163135
2015-02-28,149170
2015-03-31,167637
2015-04-30,168228
2015-05-31,160502
2015-06-30,173555
2015-07-31,185010
