SalesDate,Sales
2013-01-31,156464
2013-02-28,145386
2013-03-31,182108
2013-04-30,158116
2013-05-31,156393
2013-06-30,150066
2013-07-31,176505
2013-08-31,161890
2013-09-30,153593
2013-10-31,156540
2013-11-30,170091
2013-12-31,216118
2014-01-31,161037
2014-02-28,154388
2014-03-31,175401
2014-04-30,176445
2014-05-31,170152
2014-06-30,175199
2014-07-31,195206
2014-08-31,176180
2014-09-30,196065
2014-10-31,175786
2014-11-30,189564
2014-12-31,236776
2015-01-31,188157
2015-02-28,168108
2015-03-31,208901
2015-04-30,178972
2015-05-31,170268
2015-06-30,202467
2015-07-31,198353
