SalesDate,Sales
2013-01-31,171006
2013-02-28,155402
2013-03-31,170548
2013-04-30,165252
2013-05-31,169400
2013-06-30,164775
2013-07-31,190400
2013-08-31,171878
2013-09-30,169513
2013-10-31,167074
2013-11-30,184092
2013-12-31,209683
2014-01-31,182774
2014-02-28,168562
2014-03-31,182255
2014-04-30,180403
2014-05-31,180255
2014-06-30,182474
2014-07-31,194775
2014-08-31,171682
2014-09-30,188364
2014-10-31,183786
2014-11-30,191614
2014-12-31,211317
2015-01-31,187691
2015-02-28,164446
2015-03-31,193168
2015-04-30,187108
2015-05-31,177549
2015-06-30,195010
2015-07-31,197486
