SalesDate,Sales
2013-01-31,152440
2013-02-28,150759
2013-03-31,176470
2013-04-30,162791
2013-05-31,176083
2013-06-30,219600
2013-07-31,226395
2013-08-31,160105
2013-09-30,154705
2013-10-31,171697
2013-11-30,171185
2013-12-31,197116
2014-01-31,175600
2014-02-28,171999
2014-03-31,140069
2014-04-30,190200
2014-05-31,191331
2014-06-30,185281
2014-07-31,206600
2014-08-31,176414
2014-09-30,186362
2014-10-31,193421
2014-11-30,197110
2014-12-31,216496
2015-01-31,189107
2015-02-28,174935
2015-03-31,215837
2015-04-30,195128
2015-05-31,184693
2015-06-30,210027
2015-07-31,217965
