SalesDate,Sales
2013-01-31,104974
2013-02-28,100788
2013-03-31,113948
2013-04-30,111501
2013-05-31,109299
2013-06-30,112115
2013-07-31,115662
2013-08-31,114244
2013-09-30,101600
2013-10-31,103928
2013-11-30,104366
2013-12-31,124440
2014-01-31,108267
2014-02-28,103634
2014-03-31,115130
2014-04-30,114465
2014-05-31,117411
2014-06-30,114394
2014-07-31,123655
2014-08-31,111853
2014-09-30,118943
2014-10-31,117343
2014-11-30,129221
2014-12-31,139876
2015-01-31,118529
2015-02-28,110813
2015-03-31,123297
2015-04-30,125418
2015-05-31,121228
2015-06-30,130483
2015-07-31,132790
