SalesDate,Sales
2013-01-31,217416
2013-02-28,204920
2013-03-31,258823
2013-04-30,241540
2013-05-31,225148
2013-06-30,227781
2013-07-31,272741
2013-08-31,246856
2013-09-30,208382
2013-10-31,245997
2013-11-30,246653
2013-12-31,301864
2014-01-31,244423
2014-02-28,233010
2014-03-31,252541
2014-04-30,260027
2014-05-31,252303
2014-06-30,223473
2014-07-31,257771
2014-08-31,248257
2014-09-30,246590
2014-10-31,258017
2014-11-30,252123
2014-12-31,287863
2015-01-31,228008
2015-02-28,203505
2015-03-31,242680
2015-04-30,239647
2015-05-31,230648
2015-06-30,232084
2015-07-31,243608
